LAST SEEN   TYPE      REASON              OBJECT                                  MESSAGE
14m         Normal    Scheduled           pod/api-gateway-5cd64c744c-b77qs        Successfully assigned microservices/api-gateway-5cd64c744c-b77qs to microservices-control-plane
14m         Normal    ScalingReplicaSet   deployment/api-gateway                  Scaled up replica set api-gateway-5cd64c744c to 1
14m         Normal    SuccessfulCreate    replicaset/api-gateway-5cd64c744c       Created pod: api-gateway-5cd64c744c-b77qs
14m         Normal    SuccessfulCreate    replicaset/user-service-85c9759b89      Created pod: user-service-85c9759b89-xsncc
14m         Normal    ScalingReplicaSet   deployment/user-service                 Scaled up replica set user-service-85c9759b89 to 1
14m         Normal    Scheduled           pod/user-service-85c9759b89-xsncc       Successfully assigned microservices/user-service-85c9759b89-xsncc to microservices-control-plane
14m         Normal    Scheduled           pod/product-service-646d4b75cc-zlgdq    Successfully assigned microservices/product-service-646d4b75cc-zlgdq to microservices-control-plane
14m         Normal    ScalingReplicaSet   deployment/product-service              Scaled up replica set product-service-646d4b75cc to 1
14m         Normal    SuccessfulCreate    replicaset/product-service-646d4b75cc   Created pod: product-service-646d4b75cc-zlgdq
13m         Normal    Pulling             pod/product-service-646d4b75cc-zlgdq    Pulling image "microservices-deployment-pipeline-product-service:latest"
13m         Warning   Failed              pod/product-service-646d4b75cc-zlgdq    Error: ErrImagePull
13m         Warning   Failed              pod/product-service-646d4b75cc-zlgdq    Failed to pull image "microservices-deployment-pipeline-product-service:latest": rpc error: code = Unknown desc = failed to pull and unpack image "docker.io/library/microservices-deployment-pipeline-product-service:latest": failed to resolve reference "docker.io/library/microservices-deployment-pipeline-product-service:latest": pull access denied, repository does not exist or may require authorization: server message: insufficient_scope: authorization failed
12m         Normal    BackOff             pod/api-gateway-5cd64c744c-b77qs        Back-off pulling image "microservices-deployment-pipeline-api-gateway:latest"
12m         Warning   Failed              pod/api-gateway-5cd64c744c-b77qs        Error: ImagePullBackOff
12m         Warning   Failed              pod/user-service-85c9759b89-xsncc       Error: ImagePullBackOff
12m         Normal    BackOff             pod/user-service-85c9759b89-xsncc       Back-off pulling image "microservices-deployment-pipeline-user-service:latest"
